Date,timeRange1,timeRange2,timeRange3,Physical,Telephone,bar associatif, Doc. Associatives, infos touristiques,docs  infos  santé,activités  Pôle Santé,Activités  Pôle Culture,Autres activités,événements hors pôles,Activités des associations,Autres
20/05/2019,,1,,24,8,8,6,,,,,5,,10,
20/05/2019,,,1,37,3,4,2,,,,,30,,4,
21/05/2019,,1,,19,12,5,8,,,1,1,3,,9,5
21/05/2019,,,1,16,2,3,,,1,1,4,,1,8,
22/05/2019,,1,,24,4,5,4,,,,,14,2,7,
22/05/2019,,,1,32,4,6,7,1,1,,5,3,,14,
23/05/2019,,1,,18,,2,,2,5,,1,7,,1,
23/05/2019,,,1,22,,,2,,1,3,,8,,11,
24/05/2019,,1,,17,4,5,4,1,,,,2,,11,
24/05/2019,,,1,78,,,,,3,2,,22,,51,
25/05/2019,1,,,16,4,,,,,,,,,20,
25/05/2019,,1,,23,1,13,3,,,,,2,,7,
25/05/2019,,,1,18,2,4,3,,,6,1,,3,3,
26/05/2019,,,,,,,,,,,,,,,
27/05/2019,,1,,36,7,10,6,,1,,4,17,,5,1
27/05/2019,,,1,39,1,,3,,2,,,33,,1,1
28/05/2019,,1,,8,2,,7,,,,,2,,1,
28/05/2019,,,1,23,2,,1,,,,,2,,21,1
29/05/2019,,1,,23,1,6,7,1,4,,,2,,7,
29/05/2019,,,1,11,3,,7,1,,,,4,,1,1
30/05/2019,,1,,11,2,2,,,1,5,1,,,3,
30/05/2019,,,1,27,1,,4,,,,,,,20,4
31/05/2019,,1,,8,3,3,2,,1,,,,,4,1
31/05/2019,,,1,11,1,2,,,,,,2,,8,
01/06/2019,1,,,24,2,,1,,,1,,1,,23,
01/06/2019,,1,,18,4,9,2,,,,,2,,7,1
01/06/2019,,,1,8,1,1,2,,,,3,1,,2,
02/06/2019,,,,,,,,,,,,,,,
03/06/2019,,1,,13,6,2,5,,,1,,2,,7,2
03/06/2019,,,1,29,3,2,3,,,,,5,,2,1
04/06/2019,,1,,23,2,,5,,,,,,,18,1
04/06/2019,,,1,12,4,,3,,,,,1,,10,3
05/06/2019,,1,,26,2,1,1,,1,,,,,25,1
05/06/2019,,,1,39,,,,,,,,15,,20,3
06/06/2019,,1,,22,9,6,5,,,,,13,2,6,
06/06/2019,,,1,16,3,,5,,1,,,7,,3,3
07/06/2019,,1,,38,5,,7,,1,,1,20,,9,1
07/06/2019,,,,,,,,,,,,,,,
08/06/2019,1,,,27,4,5,4,,,,,3,1,18,
08/06/2019,,1,,33,2,8,5,,1,,,4,1,16,
08/06/2019,,,1,34,,3,5,,,,3,,,22,
09/06/2019,,,,,,,,,,,,,,,
10/06/2019,,1,,22,3,3,10,,1,,,4,,7,
10/06/2019,,,1,48,2,3,1,,,,,27,,14,1
11/06/2019,,1,,15,5,,14,,,,,,,,6
11/06/2019,,,1,11,3,,1,,,,1,3,6,1,2
12/06/2019,,1,,22,3,,10,,3,,,4,,8,
12/06/2019,,,1,9,7,4,3,1,,,,3,,3,1
13/06/2019,,1,,12,,,10,,,,,7,,2,
13/06/2019,,,1,9,1,,,,,,1,6,,2,
14/06/2019,,1,,37,7,2,10,1,3,,3,15,1,6,
14/06/2019,,,1,49,2,3,4,,1,,2,35,,5,
15/06/2019,1,,,13,1,,,,,,,,,14,
15/06/2019,,1,,25,1,11,8,,,,,,,7,
15/06/2019,,,1,10,2,2,6,,,,,2,,2,
16/06/2019,,,,,,,,,,,,,,,
17/06/2019,,1,,24,5,8,3,,2,,,11,,5,
17/06/2019,,,1,31,2,,1,,,,2,18,,9,3
18/06/2019,,1,,17,,2,7,3,2,,2,,2,4,1
18/06/2019,,,1,28,2,,5,,,,2,1,1,21,
19/06/2019,,1,,19,6,1,,,,2,,,1,12,9
19/06/2019,,,1,20,,,2,,,,,,1,17,
20/06/2019,,1,,21,2,3,5,,1,,2,4,,6,1
20/06/2019,,,1,36,3,1,4,,,,10,5,5,13,1
21/06/2019,,1,,12,6,,13,2,,,,4,,3,
21/06/2019,,,1,99,1,4,,,,,3,11,,82,
22/06/2019,1,,,20,3,6,1,,,,10,11,,,
22/06/2019,,1,,41,2,5,8,1,,,9,2,14,4,1
22/06/2019,,,1,14,2,5,6,,,1,1,2,,1,
23/06/2019,,,,,,,,,,,,,,,
24/06/2019,,1,,26,6,5,3,,1,,3,9,,8,
24/06/2019,,,1,78,2,,2,1,,,,25,,33,
25/06/2019,,1,,8,7,,10,3,,,,2,,,
25/06/2019,,,1,27,3,,4,,,,1,2,1,21,1
26/06/2019,,1,,39,2,5,4,2,,,1,12,,17,1
26/06/2019,,,1,26,1,2,2,,1,,,,,22,
27/06/2019,,1,,11,5,,11,3,,,,,,,
27/06/2019,,,1,12,4,2,5,1,,,2,5,,,1
28/06/2019,,1,,8,4,4,,2,,1,,1,2,,2
28/06/2019,,,1,28,4,2,3,,,1,,5,3,6,
29/06/2019,,,,,,,,,,,,,,,
29/06/2019,,,,,,,,,,,,,,,
29/06/2019,,,,,,,,,,,,,,,
30/06/2019,,,,,,,,,,,,,,,
01/07/2019,,1,,16,11,,12,,3,1,,3,,6,1
01/07/2019,,,1,20,2,1,1,,1,2,,12,,3,2
02/07/2019,,1,,10,9,,19,,,,,,2,3,
02/07/2019,,,1,41,1,4,8,,,,,,2,29,3
03/07/2019,,1,,28,5,,,,1,,,11,,18,3
03/07/2019,,,1,31,,2,,,,1,,,,24,4
04/07/2019,,1,,18,3,,11,,,,,,,10,
04/07/2019,,,1,17,2,2,3,1,,,,4,,6,3
05/07/2019,,1,,11,3,,8,2,,,,2,,2,
05/07/2019,,,1,75,2,,,,,,1,32,,42,
06/07/2019,1,,,11,2,,2,,2,,,4,,4,1
06/07/2019,,1,,8,3,6,1,,,,,2,,1,
06/07/2019,,,1,8,,2,3,,,,1,,2,,
07/07/2019,,,,,,,,,,,,,,,
08/07/2019,,1,,28,7,4,14,1,2,,,2,,9,3
08/07/2019,,,1,35,,7,3,,,,1,20,,20,3
09/07/2019,,1,,20,,,4,1,2,,,,,5,8
09/07/2019,,,1,25,4,,4,,,1,,1,6,15,1
10/07/2019,,1,,8,1,4,5,1,1,2,,,,,
10/07/2019,,,1,10,6,,,1,,,,5,,10,
11/07/2019,,1,,4,3,,3,,,,,,,4,
11/07/2019,,,1,27,1,1,3,,1,,,8,,5,1
12/07/2019,,1,,13,5,2,8,,3,,,2,,3,
12/07/2019,,,1,51,3,,1,,,1,29,1,,3,
13/07/2019,1,,,100,,,,,,,,,,100,
13/07/2019,,1,,22,1,7,5,1,2,,,,,8,
13/07/2019,,,1,8,,3,,2,,,3,,,,
14/07/2019,,,,,,,,,,,,,,,
15/07/2019,,1,,34,6,3,12,,,,1,7,5,7,3
15/07/2019,,,1,17,1,3,4,,,,,,,11,
16/07/2019,,1,,7,6,1,,,,,,1,,6,
16/07/2019,,,1,16,,,2,,,1,3,3,,6,1
17/07/2019,,1,,40,3,11,9,2,1,,,2,,19,
17/07/2019,,,1,11,1,2,4,,,,1,2,,3,
18/07/2019,,1,,11,2,,8,3,1,,,1,,,
18/07/2019,,,1,10,,1,4,,,,,,,5,
19/07/2019,,1,,4,6,,6,,,,,3,,1,
19/07/2019,,,1,60,4,,7,,,,1,2,,54,
20/07/2019,1,,,18,2,,,,,,,,,20,
20/07/2019,,1,,10,,4,2,,1,,,,,3,
20/07/2019,,,1,13,3,4,6,,1,,2,3,,,
21/07/2019,,,,,,,,,,,,,,,
22/07/2019,,1,,20,4,6,5,1,,,,6,,6,
22/07/2019,,,1,20,,,,,,,,6,14,,
